,Heat
1493,4.665443685
1494,4.996551199
1495,5.362719924
1496,5.33550142
1497,5.841967827
1498,6.478439651
1499,6.99365375
1500,7.959870335
1501,9.814295992
1502,11.14151406
1503,11.47852577
1504,10.98193501
1505,9.825489389
1506,8.3450624
1507,7.22289755
1508,6.292664083
1509,5.897805955
1510,5.648526187
1511,5.365537592
1512,5.244411382
1513,5.157206321
1514,5.073821224
1515,4.989772686
1516,4.915939823
1517,4.904516876
1518,5.017974528
1519,5.287485346
1520,5.771244513
1521,6.389309333
1522,6.855980838
1523,7.198486852
1524,7.615034484
1525,7.977626535
1526,8.102942265
1527,8.072626162
1528,7.991709454
1529,7.899157144
1530,7.763478749
1531,7.491479017
1532,6.875366948
1533,5.471001209
1534,4.903047997
1535,4.320066879
1536,3.535159122
1537,3.389620605
1538,3.439276776
1539,3.566730528
1540,3.762856872
1541,3.97495873
1542,4.257062383
1543,4.569038192
1544,4.545848023
1545,4.977357479
1546,5.51963157
1547,5.958594061
1548,6.781810739
1549,8.361781681
1550,9.492571681
1551,9.779705704
1552,9.356610301
1553,8.371318457
1554,7.109994437
1555,6.153909814
1556,5.361350758
1557,5.024931573
1558,4.812545172
1559,4.571438846
1560,4.468239296
1561,4.393940571
1562,4.322896456
1563,4.251287089
1564,4.188381478
1565,4.178649125
1566,4.275315062
1567,4.50493832
1568,4.917101204
1569,5.443692526
1570,5.841296719
1571,6.133111895
1572,6.488010541
1573,6.796939024
1574,6.903708045
1575,6.87787872
1576,6.808937673
1577,6.73008309
1578,6.614485077
1579,6.382741264
1580,5.857813687
1581,4.661293864
1582,4.177397641
1583,3.68069764
1584,3.016177832
1585,3.093003213
1586,3.15157053
1587,3.203162547
1588,3.266465466
1589,3.343498202
1590,3.448803118
1591,3.555497251
1592,3.745217904
1593,4.016460658
1594,4.353713896
1595,4.815935639
1596,5.427188836
1597,6.461005344
1598,7.173543702
1599,7.16814938
1600,6.93138897
1601,6.552989927
1602,6.186722206
1603,5.853623875
1604,5.458418921
1605,5.248606249
1606,5.163009788
1607,5.144314474
1608,5.156153979
1609,5.20025992
1610,5.140465627
1611,5.22412483
1612,5.355376576
1613,5.510768067
1614,5.650743749
1615,5.833467154
1616,5.995604012
1617,6.165047903
1618,6.324593805
1619,6.403148505
1620,6.35833917
1621,6.245425524
1622,6.070097944
1623,5.897597926
1624,5.791610965
1625,5.775677674
1626,5.687359819
1627,5.263070675
1628,4.717432466
1629,3.95615053
1630,3.243853021
1631,2.939352451
1632,2.960654802
1633,3.03606595
1634,3.093555136
1635,3.144197426
1636,3.206335039
1637,3.281949726
1638,3.385316146
1639,3.49004621
1640,3.676274408
1641,3.942524014
1642,4.273568958
1643,4.727281935
1644,5.327282934
1645,6.342068526
1646,7.041490188
1647,7.036195167
1648,6.803793139
1649,6.43235982
1650,6.072834504
1651,5.745867983
1652,5.357938122
1653,5.151987768
1654,5.067967002
1655,5.049615838
1656,5.061237397
1657,5.104531417
1658,5.045837843
1659,5.127957012
1660,5.256792624
1661,5.409323604
1662,5.546722557
